origin_eng,raw,inf,noun,adj,adv
Fun,ridik,ridiki,ridiko,ridika,ridike
Book,libr,libri,libro,-,-
Good,bon,boni,bono,bona,bone
Have,hab,habi,habo,-,-
Big/Large,grand,grandi,grando,granda,grande
See/Look,hid,hidi,hido,-,-
House,dom,domi,domo,-,-
Hot,kal,kali,kalo,kala,kale
Young,un,uni,uno,una,une
Go,ir,iri,iro,ira,ire
Come,benir,beniri,beniro,-,-
Feel,sant,santi,santo,santa,sante
Find/Search,trob,trobi,trobo,-,-
Like/Love/Fond,am,ami,amo,ama,ame
Show/Display,espon,esponi,espono,-,-
Sick,mal,mali,malo,mala,male
Fire,flam,flami,flamo,flama,-
Sing,chant,chanti,chanto,-,-
Ask,pat,pati,pato,-,-
Fish,pesk,peski,pesko,-,-
Sky,siel,sieli,sielo,-,-
Meat,karn,karni,karno,-,-
Sleep,sum,sumi,sumo,suma,-
Fix,fig,figi,figo,-,-
Snow,nej,neji,nejo,-,-
Fly,bol,boli,bolo,-,-
Food,alim,alimi,alimo,-,-
Lose,perd,perdi,perdo,-,-
Start/Begin,init,initi,inito,-,-
Talk/Speak/Say,parol,paroli,parolo,-,-
Give,don,doni,dono,-,-
Need/Want,bejon,bejoni,bejono,-,-
Thing,res,resi,reso,-,-
Purchase,mark,marki,marko,-,-
Now,or,ori,oro,-,ore
Time,dies,diesi,dieso,-,-
Happy,fel,feli,felo,fela,fele
Change,kamb,kambi,kambo,-,-
Soft,mol,moli,molo,mola,mole
Clean,pur,puri,puro,pura,pure
Help,aid,aidi,aido,-,-
Tree,arb,arbi,arbo,-,-
Walk,kam,kami,kamo,-,-
Cry,hor,hori,horo,-,-
Wash,lab,labi,labo,-,-
Cut,kort,korti,korto,-,-
Day,jor,jori,joro,jora,jore
Week,seman,semani,semano,semana,semane
Month,mes,mesi,meso,mesa,mese
Year,ann,anni,anno,anna,anne
Dry,sek,seki,seko,seka,seke
Read,leg,legi,lego,-,-
Door,port,porti,porto,-,-
Jump,salt,salti,salto,-,-
Know/Realize,kogn,kogni,kogno,-,-
Eat,manj,manji,manjo,-,-
End/Finish,fin,fini,fino,fina,fine
Speed,rapid,rapidi,rapido,rapida,rapide
Money,fond,fondi,fondo,-,-
Sport,sport,sporti,sporto,-,-
Age,aj,aji,ajo,-,-
Face,fak,faki,fako,-,-
Stand,star,stari,staro,-,-
Sit,sed,sedi,sedo,-,-
Animal,animal,animali,animalo,-,-
Power,port,porti,porto,porta,porte
Fight,kombat,kombati,kombato,-,-
Friend,amik,amiki,amiko,amika,amike
Heart,kor,kori,koro,kora,kore
Picture,imag,imagi,imago,-,-
Throw,jet,jeti,jeto,-,-
Study,stud,studi,studo,-,-
Life,bit,biti,bito,-,-
Word,lek,leki,leko,-,-
Work,labor,labori,laboro,-,-
Meaning,sign,signi,signo,-,-
Sound,son,soni,sono,sona,-
Swim,natr,natari,nataro,-,-
Answer,repon,reponi,repono,-,-
Make,kre,krei,kreo,-,-
Reason,rat,rati,rato,rata,rate
Write,skrib,skribi,skribo,-,-
Laugh,rid,ridi,rido,rida,-
Important,important,importanti,importanto,importanta,importante
Decide,desid,desidi,desido,-,-
I,-,mi,-,-,-
You,-,ki,-,-,-
3rd persona,-,di,-,-,-
Play,lud,ludi,ludo,-,-
Person,person,personi,persono,persona,persone
Think,pens,pensi,penso,-,-
Language,lingu,lingui,linguo,lingua,lingue
Forget,obli,oblii,oblio,oblia,oblie
Correct,si,sii,sio,sia,sie
Wrong,ni,nii,nio,nia,nie
Child,nin,nini,nino,nina,nine
And,-,ai,-,-,-
Name,nom,nomi,nomo,noma,nome
Length,long,longi,longo,longa,longe
Level of difficulty,nan,nani,nano,nana,nane
